n_chunks_lat,n_chunks_lon,total_chunks,time_seconds,memory_mb,n_objects,status
1,2,2,12.268938779830933,1445.38671875,50,success
1,3,3,8.530920028686523,1219.06640625,50,success
1,4,4,8.375328063964844,1211.1953125,50,success
1,8,8,8.421672821044922,1230.578125,50,success
2,1,2,10.858666896820068,1180.3359375,50,success
2,2,4,9.211211442947388,1197.41796875,50,success
2,3,6,7.754711151123047,1105.91015625,50,success
2,4,8,8.121618509292603,1135.73046875,50,success
3,1,3,8.56514573097229,1267.9375,50,success
3,2,6,7.3080244064331055,1153.9140625,50,success
4,1,4,8.056914329528809,1080.78125,50,success
4,2,8,7.750455856323242,1249.36328125,50,success
8,1,8,7.848927736282349,1187.24609375,51,success
